Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Fiji,2016,FJI,0.31304,0.302,0.251,0.353,0.55235,872399,429493,442913,0.1146,0.174,0.108,0.241,0.833,0.807,0.86,5485.607001,93.69,2916,73.16,843.21,0.289166666666667,241,885,0.214,Oceania,0.111336938505,36,226376,273096,263464,107803,156348,0,0,0,0,1,0
Finland,2016,FIN,0.21493,0.222,0.237,0.206,0.85275,5497713,2790670,2707044,0,0.166,0.172,0.16,0.754,0.69,0.821,43715.160358,140.2,3334,116.87,1261.8,0.378464307138572,6079,5672,0.5173,Europe,0.149181767657,164,84662,1181623,1220492,661389,557651,0,0,0,1,0,1
France,2016,FRA,0.21295,0.216,0.22,0.211,0.79917,64667596,33338953,31328637,0,0.293,0.243,0.34,0.87,0.824,0.918,36913.566992,159.35,3537,111.91,1434.15,0.405470737913486,50488,69425,0.421,Europe,0.163862801001,142,47209,13770965,13968201,7334570,6610342,0,0,0,1,0,1
Germany,2016,DEU,0.25932,0.223,0.242,0.204,0.77224,82193768,41729488,40464282,0,0.422,0.402,0.441,0.837,0.797,0.879,42321.967242,148.43,3574,104.95,1335.87,0.373774482372692,64292,94842,0.404,Europe,0.151802566226,236,55939,21314488,18329210,10098536,8254714,0,0,0,1,0,1
Ghana,2016,GHA,0.08943,0.109,0.045,0.166,0.54749,28481945,14053716,14428231,0.0737,0.218,0.186,0.248,0.875,0.866,0.884,1950.234376,40.92,2925,60.16,368.28,0.125907692307692,2789,41523,0.0629,Africa,0.114989624231,21,,2547140,3104532,632417,2395086,1,0,0,0,0,2
Greece,2016,GRC,0.34851,0.249,0.242,0.254,0.78387,10615185,5404211,5210972,0,0.377,0.339,0.411,0.845,0.8,0.891,17455.960297,151.74,3331,103.61,1365.66,0.409984989492645,8255,15758,0.3438,Europe,0.155402971291,66,448750,3699498,2643181,1307819,1323587,0,0,0,1,0,1
Grenada,2016,GRD,0.26189,0.213,0.133,0.29,0.36072,110261,54665,55598,0,0.287,0.219,0.354,0.843,0.818,0.869,9892.479404,81.37,2383,67.06,732.33,0.307314309693664,37,80,0.3162,Americas,0.13394679316,95,,28876,23486,7270,16123,0,1,0,0,0,2
Guatemala,2016,GTM,0.21064,0.212,0.151,0.264,0.50319,16583076,8422799,8160280,0.1628,0.371,0.371,0.371,0.869,0.845,0.894,4140.717193,59.76,2517,69.67,537.84,0.213682955899881,2827,10784,0.2077,Americas,0.111931113806,32,179894,3493059,3515612,1271843,2154314,0,1,0,0,0,0
Hungary,2016,HUN,0.27369,0.264,0.282,0.246,0.70779,9752975,5116595,4636375,0,0.385,0.331,0.433,0.795,0.735,0.858,13073.290273,152.22,3260,87.08,1369.98,0.420239263803681,5360,9315,0.3652,Europe,0.114047385171,194,111341,2669292,2574785,1442880,1140548,0,0,0,1,0,0
India,2016,IND,0.11778,0.039,0.027,0.051,0.33182,1324517249,635912563,688604687,0.1441,0.34,0.247,0.439,0.739,0.718,0.763,1726.538729,54.4,2496,63.11,489.6,0.196153846153846,248372,971242,0.2036,Asia,0.145330431695,14,4617241,156001642,51656173,17169639,35118839,0,0,1,0,0,2
