"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Denmark"," 2013","84.3 [82.2-86.1]","81.8 [79.5-83.8]","86.9 [85.0-88.6]"
"Denmark"," 2012","84.2 [82.1-86.0]","81.6 [79.4-83.7]","86.8 [84.9-88.5]"
"Denmark"," 2011","84.1 [82.1-85.9]","81.5 [79.3-83.5]","86.8 [84.9-88.5]"
"Denmark"," 2010","84.0 [82.0-85.8]","81.4 [79.3-83.4]","86.7 [84.9-88.4]"
"Denmark"," 2009","83.9 [81.9-85.7]","81.3 [79.2-83.3]","86.7 [84.8-88.3]"
"Denmark"," 2008","83.8 [81.9-85.6]","81.2 [79.1-83.1]","86.6 [84.8-88.3]"
"Denmark"," 2007","83.8 [81.8-85.5]","81.1 [79.0-83.0]","86.6 [84.7-88.2]"
"Denmark"," 2006","83.7 [81.7-85.5]","81.0 [78.9-82.9]","86.5 [84.7-88.2]"
"Denmark"," 2005","83.6 [81.6-85.4]","80.8 [78.8-82.8]","86.5 [84.6-88.2]"
"Denmark"," 2004","83.5 [81.5-85.3]","80.7 [78.6-82.6]","86.4 [84.6-88.1]"
"Denmark"," 2003","83.4 [81.4-85.2]","80.6 [78.5-82.5]","86.4 [84.5-88.1]"
"Denmark"," 2002","83.3 [81.3-85.2]","80.5 [78.4-82.4]","86.3 [84.4-88.1]"
"Denmark"," 2001","83.2 [81.2-85.1]","80.4 [78.2-82.3]","86.3 [84.3-88.1]"
"Djibouti"," 2016","85.2 [82.0-87.9]","81.3 [77.5-84.5]","89.3 [86.7-91.4]"
"Djibouti"," 2015","85.3 [82.1-88.0]","81.4 [77.7-84.6]","89.3 [86.7-91.4]"
"Djibouti"," 2014","85.4 [82.2-88.0]","81.5 [77.9-84.7]","89.3 [86.7-91.4]"
"Djibouti"," 2013","85.4 [82.3-88.0]","81.7 [78.0-84.8]","89.3 [86.7-91.4]"
"Djibouti"," 2012","85.5 [82.4-88.1]","81.8 [78.2-84.9]","89.3 [86.7-91.4]"
"Djibouti"," 2011","85.5 [82.5-88.1]","81.9 [78.4-85.0]","89.3 [86.7-91.4]"
"Djibouti"," 2010","85.6 [82.6-88.2]","82.0 [78.5-85.1]","89.3 [86.7-91.4]"
"Djibouti"," 2009","85.7 [82.6-88.2]","82.1 [78.7-85.2]","89.2 [86.7-91.4]"
"Djibouti"," 2008","85.7 [82.7-88.3]","82.3 [78.8-85.3]","89.2 [86.7-91.3]"
"Djibouti"," 2007","85.8 [82.8-88.3]","82.4 [78.9-85.4]","89.2 [86.7-91.3]"
"Djibouti"," 2006","85.8 [82.8-88.4]","82.5 [79.1-85.5]","89.2 [86.7-91.3]"
"Djibouti"," 2005","85.9 [82.9-88.4]","82.6 [79.2-85.6]","89.2 [86.7-91.4]"
"Djibouti"," 2004","85.9 [82.9-88.5]","82.7 [79.3-85.7]","89.2 [86.6-91.4]"
"Djibouti"," 2003","86.0 [83.0-88.6]","82.9 [79.4-85.8]","89.2 [86.6-91.4]"
"Djibouti"," 2002","86.1 [83.0-88.6]","83.0 [79.5-86.0]","89.2 [86.6-91.4]"
"Djibouti"," 2001","86.1 [83.1-88.7]","83.1 [79.6-86.1]","89.2 [86.5-91.4]"
"Dominica"," 2016","84.1 [81.8-86.1]","82.1 [79.7-84.3]","86.0 [84.0-87.9]"
"Dominica"," 2015","84.1 [81.9-86.1]","82.1 [79.8-84.3]","86.0 [84.0-87.8]"
"Dominica"," 2014","84.1 [81.9-86.0]","82.1 [79.8-84.3]","86.0 [84.0-87.8]"
"Dominica"," 2013","84.1 [81.9-86.0]","82.2 [79.9-84.2]","86.0 [84.0-87.8]"
"Dominica"," 2012","84.1 [82.0-86.0]","82.2 [79.9-84.2]","86.0 [84.0-87.8]"
"Dominica"," 2011","84.1 [82.0-86.0]","82.2 [79.9-84.2]","86.0 [84.0-87.8]"
"Dominica"," 2010","84.1 [82.0-86.0]","82.2 [79.9-84.3]","86.0 [84.1-87.8]"
"Dominica"," 2009","84.1 [82.0-86.0]","82.2 [80.0-84.3]","86.0 [84.0-87.8]"
"Dominica"," 2008","84.1 [82.0-86.0]","82.2 [80.0-84.3]","86.0 [84.0-87.8]"
"Dominica"," 2007","84.1 [82.0-86.0]","82.2 [80.0-84.3]","86.0 [84.0-87.8]"
"Dominica"," 2006","84.1 [82.0-86.1]","82.3 [80.0-84.3]","86.0 [84.0-87.8]"
"Dominica"," 2005","84.1 [82.0-86.1]","82.3 [80.0-84.4]","86.0 [84.0-87.8]"
"Dominica"," 2004","84.1 [81.9-86.1]","82.3 [80.0-84.4]","86.0 [83.9-87.8]"
"Dominica"," 2003","84.2 [81.9-86.2]","82.3 [79.9-84.5]","86.0 [83.9-87.9]"
"Dominica"," 2002","84.2 [81.9-86.2]","82.3 [79.9-84.5]","86.0 [83.9-87.9]"
"Dominica"," 2001","84.2 [81.8-86.2]","82.3 [79.9-84.6]","86.0 [83.8-87.9]"
"Dominican Republic"," 2010","No data","No data","No data"
"Ecuador"," 2016","86.5 [84.6-88.2]","83.2 [80.9-85.3]","90.0 [88.4-91.3]"
"Ecuador"," 2015","86.5 [84.6-88.2]","83.2 [80.9-85.2]","90.0 [88.4-91.3]"
"Ecuador"," 2014","86.5 [84.6-88.2]","83.2 [81.0-85.2]","89.9 [88.4-91.3]"
"Ecuador"," 2013","86.5 [84.6-88.1]","83.2 [81.0-85.1]","89.9 [88.4-91.2]"
"Ecuador"," 2012","86.5 [84.6-88.1]","83.1 [81.0-85.1]","89.9 [88.4-91.2]"
"Ecuador"," 2011","86.4 [84.6-88.1]","83.1 [81.0-85.1]","89.9 [88.4-91.2]"
"Ecuador"," 2010","86.4 [84.6-88.1]","83.1 [81.0-85.1]","89.8 [88.4-91.2]"
"Ecuador"," 2009","86.4 [84.6-88.0]","83.1 [81.0-85.1]","89.8 [88.3-91.1]"
"Ecuador"," 2008","86.4 [84.6-88.0]","83.1 [80.9-85.0]","89.8 [88.3-91.1]"
"Ecuador"," 2007","86.4 [84.5-88.0]","83.1 [80.9-85.0]","89.8 [88.3-91.1]"
"Ecuador"," 2006","86.3 [84.5-88.0]","83.1 [80.9-85.0]","89.7 [88.2-91.1]"
"Ecuador"," 2005","86.3 [84.4-88.0]","83.0 [80.8-85.1]","89.7 [88.2-91.1]"
"Ecuador"," 2004","86.3 [84.4-88.0]","83.0 [80.8-85.1]","89.7 [88.1-91.1]"
"Ecuador"," 2003","86.3 [84.3-88.0]","83.0 [80.7-85.1]","89.7 [88.1-91.1]"
"Ecuador"," 2002","86.3 [84.3-88.1]","83.0 [80.7-85.1]","89.6 [88.0-91.1]"
"Ecuador"," 2001","86.3 [84.2-88.1]","83.0 [80.6-85.1]","89.6 [87.9-91.1]"
"Egypt"," 2016","87.5 [85.1-89.5]","82.1 [78.9-84.9]","93.1 [91.6-94.4]"
"Egypt"," 2015","87.5 [85.1-89.5]","82.1 [78.9-84.9]","93.1 [91.6-94.4]"
"Egypt"," 2014","87.4 [85.1-89.5]","82.1 [79.0-84.9]","93.1 [91.6-94.3]"
"Egypt"," 2013","87.4 [85.1-89.5]","82.1 [79.0-84.8]","93.1 [91.6-94.3]"
"Egypt"," 2012","87.4 [85.1-89.4]","82.1 [79.0-84.8]","93.0 [91.5-94.3]"
"Egypt"," 2011","87.4 [85.1-89.4]","82.1 [79.0-84.8]","93.0 [91.5-94.3]"
"Egypt"," 2010","87.4 [85.1-89.4]","82.0 [79.0-84.8]","93.0 [91.5-94.3]"
"Egypt"," 2009","87.4 [85.1-89.4]","82.0 [79.0-84.7]","93.0 [91.5-94.2]"
"Egypt"," 2008","87.4 [85.0-89.4]","82.0 [78.9-84.7]","93.0 [91.4-94.2]"
"Egypt"," 2007","87.3 [85.0-89.3]","82.0 [78.9-84.7]","92.9 [91.4-94.2]"
"Egypt"," 2006","87.3 [85.0-89.3]","82.0 [78.9-84.7]","92.9 [91.4-94.2]"
"Egypt"," 2005","87.3 [84.9-89.3]","82.0 [78.9-84.7]","92.9 [91.3-94.2]"
"Egypt"," 2004","87.3 [84.9-89.3]","82.0 [78.8-84.7]","92.9 [91.3-94.2]"
"Egypt"," 2003","87.3 [84.9-89.3]","81.9 [78.8-84.7]","92.8 [91.3-94.2]"
"Egypt"," 2002","87.2 [84.8-89.3]","81.9 [78.7-84.7]","92.8 [91.2-94.1]"
"Egypt"," 2001","87.2 [84.8-89.3]","81.9 [78.7-84.8]","92.8 [91.2-94.1]"
"El Salvador"," 2016","86.1 [84.1-87.9]","82.8 [80.5-84.9]","89.5 [87.9-90.9]"
"El Salvador"," 2015","86.1 [84.2-87.8]","82.8 [80.5-84.8]","89.5 [87.9-90.9]"
"El Salvador"," 2014","86.1 [84.2-87.8]","82.8 [80.5-84.8]","89.5 [87.9-90.8]"
"El Salvador"," 2013","86.1 [84.2-87.8]","82.8 [80.6-84.8]","89.4 [87.9-90.8]"
"El Salvador"," 2012","86.0 [84.2-87.7]","82.8 [80.6-84.7]","89.4 [87.9-90.8]"
"El Salvador"," 2011","86.0 [84.2-87.7]","82.8 [80.6-84.7]","89.4 [87.8-90.7]"
"El Salvador"," 2010","86.0 [84.2-87.7]","82.8 [80.6-84.7]","89.3 [87.8-90.7]"
"El Salvador"," 2009","86.0 [84.1-87.7]","82.8 [80.6-84.7]","89.3 [87.8-90.7]"
"El Salvador"," 2008","86.0 [84.1-87.7]","82.8 [80.6-84.7]","89.3 [87.7-90.7]"
"El Salvador"," 2007","86.0 [84.1-87.7]","82.7 [80.6-84.7]","89.2 [87.7-90.6]"
"El Salvador"," 2006","86.0 [84.1-87.7]","82.7 [80.6-84.7]","89.2 [87.6-90.6]"
"El Salvador"," 2005","85.9 [84.0-87.7]","82.7 [80.5-84.7]","89.2 [87.6-90.6]"
"El Salvador"," 2004","85.9 [84.0-87.7]","82.7 [80.5-84.8]","89.1 [87.5-90.6]"
"El Salvador"," 2003","85.9 [83.9-87.7]","82.7 [80.5-84.8]","89.1 [87.4-90.6]"
"El Salvador"," 2002","85.9 [83.9-87.7]","82.7 [80.4-84.8]","89.1 [87.4-90.6]"
"El Salvador"," 2001","85.9 [83.8-87.7]","82.7 [80.4-84.9]","89.0 [87.3-90.6]"
"Equatorial Guinea"," 2010","No data","No data","No data"
"Eritrea"," 2010","No data","No data","No data"
"Estonia"," 2016","84.1 [81.4-86.4]","80.6 [77.6-83.3]","87.7 [85.4-89.7]"
"Estonia"," 2015","84.0 [81.4-86.3]","80.5 [77.6-83.2]","87.7 [85.4-89.6]"
"Estonia"," 2014","83.9 [81.4-86.2]","80.4 [77.5-83.0]","87.6 [85.4-89.6]"
"Estonia"," 2013","83.9 [81.3-86.1]","80.3 [77.4-82.9]","87.6 [85.4-89.6]"
"Estonia"," 2012","83.8 [81.3-86.1]","80.2 [77.4-82.8]","87.6 [85.4-89.5]"
"Estonia"," 2011","83.7 [81.2-86.0]","80.1 [77.3-82.6]","87.6 [85.4-89.5]"
"Estonia"," 2010","83.7 [81.2-85.9]","80.0 [77.2-82.5]","87.5 [85.4-89.5]"
"Estonia"," 2009","83.6 [81.1-85.8]","79.9 [77.1-82.4]","87.5 [85.3-89.4]"
"Estonia"," 2008","83.5 [81.1-85.8]","79.8 [77.1-82.3]","87.5 [85.3-89.4]"
"Estonia"," 2007","83.5 [81.0-85.7]","79.7 [77.0-82.2]","87.5 [85.3-89.4]"
"Estonia"," 2006","83.4 [80.9-85.6]","79.6 [76.9-82.1]","87.4 [85.2-89.4]"
"Estonia"," 2005","83.3 [80.8-85.6]","79.5 [76.7-82.0]","87.4 [85.2-89.4]"
"Estonia"," 2004","83.3 [80.7-85.5]","79.4 [76.6-81.9]","87.4 [85.2-89.4]"
"Estonia"," 2003","83.2 [80.6-85.4]","79.3 [76.5-81.8]","87.4 [85.1-89.3]"
"Estonia"," 2002","83.1 [80.5-85.4]","79.2 [76.4-81.7]","87.4 [85.1-89.3]"
"Estonia"," 2001","83.0 [80.4-85.4]","79.1 [76.2-81.7]","87.3 [85.0-89.3]"
"Eswatini"," 2010","No data","No data","No data"
"Ethiopia"," 2010","No data","No data","No data"
"Fiji"," 2016","83.3 [80.1-86.0]","80.7 [77.3-83.8]","86.0 [83.2-88.4]"
"Fiji"," 2015","83.3 [80.2-86.1]","80.9 [77.4-83.9]","86.0 [83.2-88.4]"
"Fiji"," 2014","83.4 [80.3-86.1]","81.0 [77.6-84.0]","86.0 [83.2-88.4]"
"Fiji"," 2013","83.5 [80.4-86.2]","81.1 [77.7-84.1]","86.0 [83.2-88.4]"
"Fiji"," 2012","83.5 [80.4-86.2]","81.2 [77.8-84.2]","86.0 [83.2-88.4]"
"Fiji"," 2011","83.6 [80.5-86.3]","81.3 [78.0-84.3]","86.0 [83.2-88.4]"
"Fiji"," 2010","83.6 [80.6-86.3]","81.4 [78.1-84.4]","86.0 [83.2-88.4]"
"Fiji"," 2009","83.7 [80.6-86.4]","81.5 [78.2-84.5]","86.0 [83.2-88.4]"
"Fiji"," 2008","83.8 [80.7-86.4]","81.7 [78.3-84.6]","86.0 [83.1-88.4]"
"Fiji"," 2007","83.8 [80.7-86.5]","81.8 [78.4-84.7]","86.0 [83.1-88.4]"
"Fiji"," 2006","83.9 [80.7-86.6]","81.9 [78.5-84.8]","86.0 [83.1-88.4]"
"Fiji"," 2005","83.9 [80.8-86.6]","82.0 [78.6-84.9]","86.0 [83.1-88.5]"
"Fiji"," 2004","84.0 [80.8-86.7]","82.1 [78.7-85.1]","86.0 [83.0-88.5]"
"Fiji"," 2003","84.0 [80.8-86.8]","82.2 [78.8-85.2]","86.0 [83.0-88.5]"
"Fiji"," 2002","84.1 [80.9-86.9]","82.3 [78.9-85.3]","86.0 [83.0-88.5]"
"Fiji"," 2001","84.2 [80.9-87.0]","82.4 [79.0-85.4]","86.0 [82.9-88.6]"
"Finland"," 2016","75.4 [72.4-78.2]","69.0 [65.6-72.3]","82.1 [79.6-84.5]"
"Finland"," 2015","75.6 [72.7-78.4]","69.4 [66.0-72.5]","82.2 [79.7-84.4]"
"Finland"," 2014","75.8 [73.0-78.5]","69.7 [66.5-72.8]","82.2 [79.8-84.4]"
"Finland"," 2013","76.0 [73.3-78.6]","70.1 [66.9-73.0]","82.3 [79.9-84.4]"
"Finland"," 2012","76.2 [73.5-78.7]","70.4 [67.4-73.3]","82.3 [79.9-84.4]"
"Finland"," 2011","76.4 [73.8-78.9]","70.7 [67.8-73.5]","82.3 [80.0-84.5]"
"Finland"," 2010","76.6 [74.0-79.0]","71.1 [68.2-73.8]","82.4 [80.1-84.5]"
"Finland"," 2009","76.8 [74.3-79.2]","71.4 [68.6-74.0]","82.4 [80.1-84.5]"
"Finland"," 2008","77.0 [74.5-79.3]","71.7 [69.0-74.3]","82.5 [80.2-84.5]"
"Finland"," 2007","77.2 [74.7-79.5]","72.0 [69.4-74.6]","82.5 [80.2-84.5]"
"Finland"," 2006","77.4 [74.9-79.6]","72.4 [69.7-74.9]","82.5 [80.3-84.6]"
"Finland"," 2005","77.5 [75.1-79.8]","72.7 [70.1-75.1]","82.6 [80.3-84.6]"
"Finland"," 2004","77.7 [75.3-80.0]","73.0 [70.4-75.4]","82.6 [80.3-84.7]"
"Finland"," 2003","77.9 [75.5-80.1]","73.3 [70.8-75.7]","82.7 [80.4-84.7]"
"Finland"," 2002","78.1 [75.6-80.3]","73.6 [71.1-76.1]","82.7 [80.4-84.8]"
"Finland"," 2001","78.2 [75.8-80.5]","74.0 [71.4-76.4]","82.7 [80.4-84.9]"
"France"," 2016","87.0 [85.1-88.7]","82.4 [80.0-84.6]","91.8 [90.4-93.0]"
"France"," 2015","86.9 [85.1-88.6]","82.3 [80.0-84.4]","91.8 [90.4-92.9]"
"France"," 2014","86.9 [85.1-88.5]","82.2 [80.0-84.3]","91.7 [90.4-92.9]"
"France"," 2013","86.8 [85.1-88.4]","82.2 [79.9-84.2]","91.7 [90.4-92.8]"
"France"," 2012","86.8 [85.1-88.3]","82.1 [79.9-84.1]","91.7 [90.4-92.8]"
"France"," 2011","86.7 [85.0-88.3]","82.0 [79.9-83.9]","91.7 [90.4-92.8]"
"France"," 2010","86.7 [85.0-88.2]","81.9 [79.8-83.8]","91.6 [90.4-92.7]"
"France"," 2009","86.6 [85.0-88.1]","81.8 [79.8-83.7]","91.6 [90.4-92.7]"
"France"," 2008","86.5 [84.9-88.0]","81.7 [79.7-83.6]","91.6 [90.4-92.7]"
"France"," 2007","86.5 [84.9-88.0]","81.6 [79.6-83.5]","91.6 [90.3-92.6]"
"France"," 2006","86.4 [84.8-87.9]","81.5 [79.5-83.4]","91.5 [90.3-92.6]"
"France"," 2005","86.4 [84.8-87.9]","81.5 [79.5-83.3]","91.5 [90.3-92.6]"
"France"," 2004","86.3 [84.7-87.8]","81.4 [79.4-83.2]","91.5 [90.2-92.6]"
"France"," 2003","86.3 [84.6-87.8]","81.3 [79.3-83.1]","91.5 [90.2-92.6]"
"France"," 2002","86.2 [84.5-87.7]","81.2 [79.2-83.1]","91.4 [90.2-92.6]"
"France"," 2001","86.2 [84.5-87.7]","81.1 [79.0-83.0]","91.4 [90.1-92.6]"
"Gabon"," 2010","No data","No data","No data"
"Gambia"," 2010","No data","No data","No data"
"Georgia"," 2010","No data","No data","No data"
"Germany"," 2016","83.7 [81.4-85.8]","79.7 [77.0-82.1]","87.9 [86.0-89.6]"
"Germany"," 2015","83.7 [81.4-85.7]","79.7 [77.1-82.1]","87.9 [86.0-89.5]"
"Germany"," 2014","83.7 [81.5-85.6]","79.7 [77.1-82.0]","87.9 [86.0-89.5]"
"Germany"," 2013","83.7 [81.5-85.6]","79.7 [77.2-81.9]","87.9 [86.1-89.5]"
"Germany"," 2012","83.6 [81.5-85.5]","79.6 [77.2-81.9]","87.8 [86.1-89.4]"
"Germany"," 2011","83.6 [81.6-85.5]","79.6 [77.3-81.8]","87.8 [86.1-89.4]"
"Germany"," 2010","83.6 [81.6-85.5]","79.6 [77.3-81.7]","87.8 [86.1-89.4]"
"Germany"," 2009","83.6 [81.6-85.4]","79.6 [77.3-81.7]","87.8 [86.1-89.3]"
"Germany"," 2008","83.6 [81.6-85.4]","79.6 [77.4-81.7]","87.8 [86.1-89.3]"
"Germany"," 2007","83.6 [81.6-85.4]","79.6 [77.4-81.6]","87.8 [86.1-89.3]"
"Germany"," 2006","83.6 [81.6-85.4]","79.6 [77.4-81.6]","87.8 [86.0-89.3]"
"Germany"," 2005","83.6 [81.6-85.3]","79.6 [77.4-81.6]","87.7 [86.0-89.3]"
"Germany"," 2004","83.5 [81.6-85.3]","79.5 [77.4-81.6]","87.7 [86.0-89.3]"
"Germany"," 2003","83.5 [81.6-85.3]","79.5 [77.4-81.5]","87.7 [86.0-89.3]"
"Germany"," 2002","83.5 [81.5-85.3]","79.5 [77.3-81.5]","87.7 [85.9-89.3]"
"Germany"," 2001","83.5 [81.5-85.3]","79.5 [77.3-81.6]","87.7 [85.9-89.3]"
"Ghana"," 2016","87.5 [85.0-89.6]","86.6 [84.0-88.8]","88.4 [85.9-90.5]"
"Ghana"," 2015","87.4 [85.0-89.5]","86.5 [84.0-88.7]","88.4 [85.9-90.4]"
"Ghana"," 2014","87.4 [85.0-89.5]","86.5 [84.1-88.7]","88.3 [85.9-90.4]"
"Ghana"," 2013","87.4 [85.0-89.5]","86.5 [84.1-88.6]","88.3 [85.9-90.4]"
"Ghana"," 2012","87.4 [85.0-89.4]","86.5 [84.0-88.6]","88.3 [85.9-90.3]"
"Ghana"," 2011","87.3 [85.0-89.4]","86.4 [84.0-88.5]","88.3 [85.9-90.3]"
"Ghana"," 2010","87.3 [85.0-89.4]","86.4 [84.0-88.5]","88.3 [85.9-90.3]"
"Ghana"," 2009","87.3 [84.9-89.3]","86.4 [84.0-88.5]","88.2 [85.9-90.2]"
"Ghana"," 2008","87.3 [84.9-89.3]","86.4 [84.0-88.4]","88.2 [85.9-90.2]"
"Ghana"," 2007","87.3 [84.9-89.3]","86.3 [84.0-88.4]","88.2 [85.9-90.2]"
"Ghana"," 2006","87.2 [84.9-89.3]","86.3 [83.9-88.4]","88.2 [85.8-90.2]"
"Ghana"," 2005","87.2 [84.8-89.3]","86.3 [83.9-88.4]","88.2 [85.8-90.2]"
"Ghana"," 2004","87.2 [84.8-89.2]","86.3 [83.9-88.3]","88.1 [85.8-90.2]"
"Ghana"," 2003","87.2 [84.8-89.2]","86.2 [83.8-88.3]","88.1 [85.7-90.2]"
"Ghana"," 2002","87.1 [84.7-89.2]","86.2 [83.8-88.3]","88.1 [85.7-90.2]"
"Ghana"," 2001","87.1 [84.7-89.2]","86.2 [83.7-88.3]","88.1 [85.6-90.2]"
"Greece"," 2016","84.5 [82.3-86.4]","80.0 [77.4-82.5]","89.1 [87.4-90.6]"
"Greece"," 2015","84.4 [82.3-86.3]","80.0 [77.4-82.3]","89.0 [87.3-90.5]"
"Greece"," 2014","84.4 [82.3-86.3]","79.9 [77.4-82.2]","89.0 [87.3-90.5]"
"Greece"," 2013","84.3 [82.3-86.2]","79.9 [77.4-82.1]","88.9 [87.3-90.4]"
"Greece"," 2012","84.3 [82.2-86.1]","79.8 [77.4-82.0]","88.9 [87.2-90.3]"
"Greece"," 2011","84.2 [82.2-86.0]","79.8 [77.4-81.9]","88.8 [87.2-90.3]"
"Greece"," 2010","84.2 [82.2-85.9]","79.7 [77.4-81.8]","88.8 [87.2-90.2]"
"Greece"," 2009","84.1 [82.2-85.9]","79.7 [77.4-81.7]","88.7 [87.1-90.1]"
"Greece"," 2008","84.0 [82.1-85.8]","79.6 [77.4-81.6]","88.7 [87.1-90.1]"
"Greece"," 2007","84.0 [82.1-85.7]","79.5 [77.4-81.6]","88.6 [87.0-90.0]"
"Greece"," 2006","83.9 [82.0-85.7]","79.5 [77.3-81.5]","88.6 [86.9-90.0]"
"Greece"," 2005","83.9 [82.0-85.6]","79.4 [77.3-81.4]","88.5 [86.9-89.9]"
"Greece"," 2004","83.8 [81.9-85.6]","79.4 [77.2-81.4]","88.4 [86.8-89.9]"
"Greece"," 2003","83.7 [81.8-85.5]","79.3 [77.1-81.3]","88.4 [86.7-89.9]"
"Greece"," 2002","83.6 [81.7-85.4]","79.3 [77.1-81.3]","88.3 [86.6-89.8]"
"Greece"," 2001","83.6 [81.6-85.4]","79.2 [77.0-81.3]","88.3 [86.6-89.8]"
"Grenada"," 2016","84.3 [81.8-86.5]","81.8 [79.0-84.3]","86.9 [84.7-88.9]"
"Grenada"," 2015","84.3 [81.8-86.5]","81.8 [79.1-84.3]","86.9 [84.7-88.8]"
"Grenada"," 2014","84.3 [81.9-86.5]","81.9 [79.2-84.3]","86.9 [84.7-88.8]"
"Grenada"," 2013","84.3 [81.9-86.5]","81.9 [79.3-84.3]","86.9 [84.7-88.8]"
"Grenada"," 2012","84.4 [82.0-86.5]","81.9 [79.3-84.3]","86.9 [84.7-88.8]"
"Grenada"," 2011","84.4 [82.0-86.5]","82.0 [79.4-84.3]","86.9 [84.7-88.8]"
"Grenada"," 2010","84.4 [82.0-86.5]","82.0 [79.4-84.3]","86.9 [84.7-88.7]"
"Grenada"," 2009","84.4 [82.1-86.5]","82.0 [79.5-84.3]","86.9 [84.7-88.7]"
"Grenada"," 2008","84.4 [82.1-86.5]","82.1 [79.5-84.4]","86.9 [84.7-88.7]"
"Grenada"," 2007","84.5 [82.1-86.5]","82.1 [79.5-84.4]","86.8 [84.7-88.7]"
"Grenada"," 2006","84.5 [82.1-86.6]","82.1 [79.6-84.4]","86.8 [84.7-88.7]"
"Grenada"," 2005","84.5 [82.1-86.6]","82.2 [79.6-84.5]","86.8 [84.7-88.7]"
"Grenada"," 2004","84.5 [82.1-86.6]","82.2 [79.6-84.5]","86.8 [84.6-88.7]"
"Grenada"," 2003","84.5 [82.1-86.6]","82.2 [79.6-84.6]","86.8 [84.6-88.8]"
"Grenada"," 2002","84.5 [82.1-86.7]","82.2 [79.6-84.6]","86.8 [84.6-88.8]"
"Grenada"," 2001","84.5 [82.0-86.7]","82.3 [79.6-84.7]","86.8 [84.5-88.8]"
"Guatemala"," 2016","86.9 [85.0-88.6]","84.5 [82.3-86.4]","89.4 [87.8-90.9]"
"Guatemala"," 2015","86.9 [85.0-88.5]","84.4 [82.3-86.3]","89.4 [87.8-90.8]"
"Guatemala"," 2014","86.8 [85.0-88.5]","84.3 [82.3-86.2]","89.4 [87.7-90.8]"
"Guatemala"," 2013","86.8 [84.9-88.4]","84.3 [82.2-86.2]","89.3 [87.7-90.7]"
"Guatemala"," 2012","86.7 [84.9-88.4]","84.2 [82.2-86.1]","89.3 [87.7-90.7]"
"Guatemala"," 2011","86.7 [84.9-88.3]","84.2 [82.1-86.0]","89.2 [87.6-90.7]"
"Guatemala"," 2010","86.6 [84.8-88.3]","84.1 [82.1-86.0]","89.2 [87.6-90.6]"
"Guatemala"," 2009","86.6 [84.8-88.2]","84.1 [82.0-85.9]","89.2 [87.6-90.6]"
"Guatemala"," 2008","86.5 [84.7-88.2]","84.0 [81.9-85.9]","89.1 [87.5-90.6]"
"Guatemala"," 2007","86.5 [84.6-88.2]","83.9 [81.8-85.8]","89.1 [87.5-90.6]"
"Guatemala"," 2006","86.4 [84.6-88.1]","83.9 [81.8-85.8]","89.1 [87.4-90.5]"
"Guatemala"," 2005","86.4 [84.5-88.1]","83.8 [81.7-85.8]","89.0 [87.3-90.5]"
"Guatemala"," 2004","86.4 [84.4-88.1]","83.8 [81.6-85.7]","89.0 [87.3-90.5]"
"Guatemala"," 2003","86.3 [84.3-88.1]","83.7 [81.5-85.7]","88.9 [87.2-90.5]"
"Guatemala"," 2002","86.3 [84.2-88.1]","83.6 [81.4-85.7]","88.9 [87.1-90.5]"
"Guatemala"," 2001","86.2 [84.1-88.1]","83.6 [81.2-85.7]","88.9 [87.0-90.5]"
"Guinea"," 2010","No data","No data","No data"
"Guinea-Bissau"," 2010","No data","No data","No data"
"Guyana"," 2016","84.0 [81.3-86.4]","81.7 [78.7-84.3]","86.3 [83.8-88.5]"
"Guyana"," 2015","84.0 [81.3-86.4]","81.7 [78.8-84.3]","86.3 [83.9-88.5]"
"Guyana"," 2014","84.0 [81.4-86.4]","81.8 [78.9-84.3]","86.3 [83.9-88.4]"
"Guyana"," 2013","84.1 [81.4-86.4]","81.8 [79.0-84.3]","86.3 [83.9-88.4]"
"Guyana"," 2012","84.1 [81.5-86.4]","81.8 [79.0-84.3]","86.3 [83.9-88.4]"
"Guyana"," 2011","84.1 [81.5-86.4]","81.9 [79.1-84.4]","86.3 [83.9-88.4]"
"Guyana"," 2010","84.1 [81.5-86.4]","81.9 [79.1-84.4]","86.3 [83.9-88.4]"
"Guyana"," 2009","84.1 [81.6-86.4]","81.9 [79.2-84.4]","86.3 [83.9-88.4]"
"Guyana"," 2008","84.2 [81.6-86.4]","82.0 [79.2-84.4]","86.3 [83.9-88.4]"
"Guyana"," 2007","84.2 [81.6-86.5]","82.0 [79.3-84.5]","86.3 [83.9-88.4]"
"Guyana"," 2006","84.2 [81.6-86.5]","82.1 [79.3-84.5]","86.3 [83.9-88.4]"
"Guyana"," 2005","84.3 [81.7-86.5]","82.1 [79.3-84.6]","86.3 [83.8-88.4]"
"Guyana"," 2004","84.2 [81.6-86.5]","82.1 [79.4-84.6]","86.2 [83.8-88.4]"
"Guyana"," 2003","84.2 [81.6-86.5]","82.2 [79.4-84.7]","86.2 [83.8-88.4]"
"Guyana"," 2002","84.2 [81.5-86.5]","82.2 [79.4-84.7]","86.2 [83.8-88.4]"
"Guyana"," 2001","84.2 [81.5-86.6]","82.2 [79.4-84.8]","86.2 [83.7-88.4]"
